,Title,Genre,GenreCorrected,GenreListed
2632,Nancy Drew... Reporter,mystery,thriller,['thriller']
2633,Naughty but Nice,comedy,comedy,['comedy']
2634,Never Say Die,romantic comedy,romance comedy,['comedy' 'romance']
2635,"Nick Carter, Master Detective",crime,action,['action']
2636,The Night of Nights,drama,drama,['drama']
2637,Ninotchka,romantic comedy,romance comedy,['comedy' 'romance']
2638,Of Mice and Men,drama,drama,['drama']
2639,"Oily to Bed, Oily to Rise",comedy short,comedy short,['comedy' 'short']
2640,The Oklahoma Kid,western,action,['action']
2641,The Old Maid,drama,drama,['drama']
2642,On Borrowed Time,comedy,comedy,['comedy']
2643,On Dress Parade,drama,drama,['drama']
2644,Only Angels Have Wings,drama,drama,['drama']
2645,The Oregon Trail,serial,serial,['serial']
2646,The Outsider,drama,drama,['drama']
2647,Outside These Walls,drama,drama,['drama']
2648,Pacific Liner,drama,drama,['drama']
2649,Panama Lady,comedy,comedy,['comedy']
2650,Paris Honeymoon,musical,cultural,['cultural']
2651,Private Detective,mystery,thriller,['thriller']
2652,The Private Lives of Elizabeth and Essex,romantic drama,romance drama,['drama' 'romance']
2653,Raffles,crime comedy,action comedy,['action' 'comedy']
2654,The Rains Came,romantic drama,romance drama,['drama' 'romance']
2655,The Real Glory,adventure drama,action drama,['action' 'drama']
2656,Remember?,romantic comedy,romance comedy,['comedy' 'romance']
2657,Reno,drama,drama,['drama']
2658,The Return of Doctor X,science fiction,action,['action']
2659,Rio,drama,drama,['drama']
2660,The Roaring Twenties,crime thriller,action action,['action']
2661,Rose of Washington Square,romantic comedy,romance comedy,['comedy' 'romance']
2662,The Saint in London,crime,action,['action']
2663,The Saint Strikes Back,crime,action,['action']
2664,Saved by the Belle,comedy short,comedy short,['comedy' 'short']
2665,Second Fiddle,musical romance,cultural romance,['cultural' 'romance']
2666,The Secret of Dr. Kildare,drama,drama,['drama']
2667,Secret Service of the Air,crime drama,action drama,['action' 'drama']
2668,She Married a Cop,comedy,comedy,['comedy']
2669,Silver on the Sage,western,action,['action']
2670,Smashing the Money Ring,crime,action,['action']
2671,The Son of Frankenstein,horror,action,['action']
2672,Sorority House,drama,drama,['drama']
2673,Stagecoach,western,action,['action']
2674,Stand Up and Fight,drama,drama,['drama']
2675,Stanley and Livingstone,historical drama,cultural drama,['cultural' 'drama']
2676,The Star Maker,musical,cultural,['cultural']
2677,The Story of Vernon and Irene Castle,musical,cultural,['cultural']
2678,Stronger Than Desire,drama,drama,['drama']
2679,Sudden Money,comedy,comedy,['comedy']
2680,Swanee River,biopic,cultural,['cultural']
2681,Sweepstakes Winner,comedy,comedy,['comedy']
2682,Tail Spin,adventure,action,['action']
2683,Tarzan Finds a Son!,action adventure,action action,['action']
2684,Television Spy,drama,drama,['drama']
2685,Tell No Tales,crime,action,['action']
2686,These Glamour Girls,comedy,comedy,['comedy']
2687,They All Come Out,drama,drama,['drama']
2688,They Made Me a Criminal,crime,action,['action']
2689,They Shall Have Music,musical,cultural,['cultural']
2690,Three Little Sew and Sews,comedy short,comedy short,['comedy' 'short']
2691,Three Sappy People,comedy short,comedy short,['comedy' 'short']
2692,Three Smart Girls Grow Up,musical comedy,cultural comedy,['comedy' 'cultural']
2693,Three Sons,drama,drama,['drama']
2694,Thunder Afloat,war,action,['action']
2695,Torchy Blane in Chinatown,mystery,thriller,['thriller']
2696,Torchy Blane... Playing with Dynamite,mystery,thriller,['thriller']
2697,Torchy Runs for Mayor,mystery,thriller,['thriller']
2698,Tower of London,historical,cultural,['cultural']
2699,Trouble in Sundown,western,action,['action']
2700,Undercover Doctor,drama,drama,['drama']
2701,Union Pacific,western,action,['action']
2702,Unmarried,comedy,comedy,['comedy']
2703,Waterfront,drama,drama,['drama']
2704,Way Down South,musical,cultural,['cultural']
2705,We Want Our Mummy,comedy short,comedy short,['comedy' 'short']
2706,What a Life,comedy,comedy,['comedy']
2707,When Tomorrow Comes,drama,drama,['drama']
2708,"Wife, Husband and Friend",comedy,comedy,['comedy']
2709,Wings of the Navy,drama,drama,['drama']
2710,Winner Take All,drama,drama,['drama']
2711,The Wizard of Oz,musical fantasy,cultural fantasy,['cultural' 'fantasy']
2712,The Women,comedy,comedy,['comedy']
2713,Women in the Wind,drama,drama,['drama']
2714,Wuthering Heights,romantic drama,romance drama,['drama' 'romance']
2715,"Yes, We Have No Bonanza",comedy short,comedy short,['comedy' 'short']
2716,You Can't Cheat an Honest Man,comedy,comedy,['comedy']
2717,You Can't Get Away with Murder,crime,action,['action']
2718,Young Mr. Lincoln,bio-pic,cultural,['cultural']
2719,Zaza,comedy,comedy,['comedy']
2720,Zenobia,comedy,comedy,['comedy']
2721,The Zero Hour,drama,drama,['drama']
2722,Zorro's Fighting Legion,serial,serial,['serial']
2723,Abe Lincoln in Illinois,"drama, biography","drama, cultural",['cultural' 'drama']
2724,Adventure in Diamonds,drama,drama,['drama']
2725,"All This, and Heaven Too",drama,drama,['drama']
2726,Always a Bride,comedy,comedy,['comedy']
2727,And One Was Beautiful,romantic drama,romance drama,['drama' 'romance']
2728,Andy Hardy Meets Debutante,comedy,comedy,['comedy']
2729,An Angel from Texas,romantic comedy,romance comedy,['comedy' 'romance']
2730,Angels Over Broadway,drama,drama,['drama']
2731,Anne of Windy Poplars,drama,drama,['drama']
2732,The Ape,horror,action,['action']
2733,Argentine Nights,musical comedy,cultural comedy,['comedy' 'cultural']
2734,"Arise, My Love",romantic comedy,romance comedy,['comedy' 'romance']
2735,Arizona,western,action,['action']
2736,The Bank Dick,comedy,comedy,['comedy']
2737,Barnyard Follies,musical,cultural,['cultural']
2738,Before I Hang,"crime, sci-fi","action, action",['action']
2739,Behind the News,drama,drama,['drama']
2740,Beyond Tomorrow,fantasy,fantasy,['fantasy']
2741,A Bill of Divorcement,drama,drama,['drama']
2742,Billy the Kid's Gun Justice,western,action,['action']
2743,Bitter Sweet,musical,cultural,['cultural']
2744,Black Friday,science fiction,action,['action']
2745,Blondie Has Servant Trouble,comedy,comedy,['comedy']
2746,Blondie Plays Cupid,comedy,comedy,['comedy']
2747,The Blue Bird,fantasy,fantasy,['fantasy']
2748,Boom Town,drama,drama,['drama']
2749,Boss of Bullion City,western,action,['action']
2750,Boys of the City,comedy thriller,comedy action,['action' 'comedy']
2751,Brigham Young,biography,cultural,['cultural']
2752,British Intelligence,war spy,action action,['action']
2753,Broadway Melody of 1940,musical,cultural,['cultural']
2754,Broken Strings,drama,drama,['drama']
2755,Brother Orchid,crime comedy,action comedy,['action' 'comedy']
2756,Brother Rat and a Baby,comedy,comedy,['comedy']
2757,Cafe Hostess,drama,drama,['drama']
2758,Carolina Moon,western,action,['action']
2759,The Carson City Kid,western,action,['action']
2760,Chad Hanna,romantic drama,romance drama,['drama' 'romance']
2761,Charlie Chan at the Wax Museum,mystery,thriller,['thriller']
2762,Charlie Chan in Panama,mystery,thriller,['thriller']
2763,Charlie Chan's Murder Cruise,mystery,thriller,['thriller']
2764,Charter Pilot,adventure,action,['action']
2765,Chasing Trouble,"comedy, drama","comedy, drama",['comedy' 'drama']
2766,Christmas in July,screwball comedy,screwball comedy,['comedy' 'screwball']
2767,A Chump at Oxford,comedy,comedy,['comedy']
2768,City for Conquest,drama,drama,['drama']
2769,Colorado,western,action,['action']
2770,Comrade X,comedy spy,comedy action,['action' 'comedy']
2771,Congo Maisie,comedy,comedy,['comedy']
2772,Cross-Country Romance,romantic comedy,romance comedy,['comedy' 'romance']
2773,"Dance, Girl, Dance",musical,cultural,['cultural']
2774,Dark Command,western,action,['action']
2775,Deadwood Dick,western,action,['action']
2776,Diamond Frontier,adventure,action,['action']
2777,A Dispatch from Reuter's,biography,cultural,['cultural']
2778,Dr. Christian Meets the Women,mystery,thriller,['thriller']
2779,Dr. Cyclops,science fiction horror,action action,['action']
2780,Dr. Ehrlich's Magic Bullet,biography,cultural,['cultural']
2781,Dr. Kildare's Crisis,drama,drama,['drama']
2782,Dreaming Out Loud,comedy,comedy,['comedy']
2783,Dulcy,comedy,comedy,['comedy']
2784,The Earl of Chicago,comedy,comedy,['comedy']
2785,Earthbound,drama,drama,['drama']
2786,East of the River,drama,drama,['drama']
2787,East Side Kids,comedy,comedy,['comedy']
2788,"Edison, the Man",biographical,cultural,['cultural']
2789,Elmer's Candid Camera,animated,animation,['animation']
2790,Escape,drama,drama,['drama']
2791,The Fargo Kid,western,action,['action']
2792,Father Is a Prince,drama,drama,['drama']
2793,The Fight for Life,drama,drama,['drama']
2794,The Fighting 69th,war,action,['action']
2795,Flight Angels,drama,drama,['drama']
2796,Flight Command,war,action,['action']
2797,Florian,drama,drama,['drama']
2798,Flowing Gold,adventure,action,['action']
2799,Foreign Correspondent,spy thriller,action action,['action']
2800,Forgotten Girls,drama,drama,['drama']
2801,Forty Little Mothers,drama,drama,['drama']
2802,Four Sons,drama war,drama action,['action' 'drama']
2803,"Free, Blonde and 21",comedy,comedy,['comedy']
2804,From Nurse to Worse,comedy short,comedy short,['comedy' 'short']
2805,A Fugitive from Justice,crime drama,action drama,['action' 'drama']
2806,Gambling on the High Seas,drama,drama,['drama']
2807,Gangs of Chicago,crime,action,['action']
2808,Gaucho Serenade,western,action,['action']
2809,The Ghost Breakers,horror comedy,action comedy,['action' 'comedy']
2810,The Ghost Comes Home,comedy,comedy,['comedy']
2811,Girl from Havana,drama,drama,['drama']
2812,Give Us Wings,adventure,action,['action']
2813,The Golden Fleecing,comedy,comedy,['comedy']
2814,Golden Gloves,drama,drama,['drama']
2815,Gold Rush Maisie,comedy,comedy,['comedy']
2816,Go West,comedy,comedy,['comedy']
2817,Granny Get Your Gun,comedy,comedy,['comedy']
2818,The Grapes of Wrath,drama,drama,['drama']
2819,The Great Dictator,comedy,comedy,['comedy']
2820,The Great McGinty,comedy,comedy,['comedy']
2821,The Green Archer,serial,serial,['serial']
2822,Green Hell,adventure,action,['action']
2823,Half a Sinner,mystery,thriller,['thriller']
2824,He Married His Wife,comedy,comedy,['comedy']
2825,Her First Romance,musical,cultural,['cultural']
2826,High School,comedy,comedy,['comedy']
2827,Hired Wife,comedy,comedy,['comedy']
2828,His Girl Friday,screwball comedy,screwball comedy,['comedy' 'screwball']
2829,Hit Parade of 1941,musical comedy,cultural comedy,['comedy' 'cultural']
2830,Hold That Woman!,comedy,comedy,['comedy']
2831,The House Across the Bay,crime drama,action drama,['action' 'drama']
2832,The House of the Seven Gables,thriller,action,['action']
2833,How High Is Up?,comedy short,comedy short,['comedy' 'short']
2834,The Howards of Virginia,period drama, drama,['drama']
2835,Hullabaloo,musical comedy,cultural comedy,['comedy' 'cultural']
2836,Ice-Capades,comedy,comedy,['comedy']
2837,I Love You Again,romantic comedy,romance comedy,['comedy' 'romance']
2838,I Take This Oath,drama,drama,['drama']
2839,I Take This Woman,drama,drama,['drama']
2840,I Want a Divorce,comedy,comedy,['comedy']
2841,If I Had My Way,musical,cultural,['cultural']
2842,I'm Nobody's Sweetheart Now,drama,drama,['drama']
2843,I'm Still Alive,drama,drama,['drama']
2844,The Invisible Man Returns,science fiction,action,['action']
2845,The Invisible Woman,science fiction comedy,action comedy,['action' 'comedy']
2846,Irene,musical,cultural,['cultural']
2847,It All Came True,comedy,comedy,['comedy']
2848,It's a Date,musical,cultural,['cultural']
2849,I Was an Adventuress,drama,drama,['drama']
2850,Johnny Apollo,crime drama,action drama,['action' 'drama']
2851,King of the Royal Mounted,adventure serial,action serial,['action' 'serial']
2852,Kitty Foyle,drama,drama,['drama']
2853,Knock Knock,animated short,animation short,['animation' 'short']
2854,"Knute Rockne, All American",biographical,cultural,['cultural']
2855,Laddie,drama,drama,['drama']
2856,The Lady in Question,comedy,comedy,['comedy']
2857,Lady with Red Hair,drama,drama,['drama']
2858,The Letter,film noir, black,['black']
2859,The Light That Failed,drama,drama,['drama']
2860,Lillian Russell,biographical,cultural,['cultural']
2861,Little Men,drama,drama,['drama']
2862,Little Nellie Kelly,musical comedy,cultural comedy,['comedy' 'cultural']
2863,Little Old New York,drama,drama,['drama']
2864,The Lone Wolf Meets a Lady,mystery,thriller,['thriller']
2865,The Long Voyage Home,war drama,action drama,['action' 'drama']
2866,Love Thy Neighbor,comedy,comedy,['comedy']
2867,Lucky Cisco Kid,western,action,['action']
2868,Lucky Partners,romantic comedy,romance comedy,['comedy' 'romance']
2869,Maisie Was a Lady,comedy,comedy,['comedy']
2870,The Man I Married,drama,drama,['drama']
2871,The Marines Fly High,adventure,action,['action']
2872,The Mark of Zorro,adventure,action,['action']
2873,Marked Men,drama,drama,['drama']
2874,Married and in Love,drama,drama,['drama']
2875,Maryland,drama,drama,['drama']
2876,Meet the Wildcat,drama,drama,['drama']
2877,Melody and Moonlight,comedy,comedy,['comedy']
2878,Melody Ranch,western,action,['action']
2879,The Milky Way,animated short,animation short,['animation' 'short']
2880,Millionaire Playboy,comedy,comedy,['comedy']
2881,Millionaires in Prison,drama,drama,['drama']
2882,Misbehaving Husbands,comedy,comedy,['comedy']
2883,The Mortal Storm,drama,drama,['drama']
2884,Mr. Duck Steps Out,animated short,animation short,['animation' 'short']
2885,The Mummy's Hand,horror,action,['action']
2886,Murder in the Air,drama,drama,['drama']
2887,Murder Over New York,mystery,thriller,['thriller']
2888,My Favorite Wife,screwball comedy,screwball comedy,['comedy' 'screwball']
2889,My Little Chickadee,comedy,comedy,['comedy']
2890,My Love Came Back,romance,romance,['romance']
2891,Mysterious Doctor Satan,serial,serial,['serial']
2892,Mystery Sea Raider,drama,drama,['drama']
2893,New Moon,musical drama,cultural drama,['cultural' 'drama']
2894,"No Census, No Feeling",comedy short,comedy short,['comedy' 'short']
2895,North West Mounted Police,western,action,['action']
2896,Northwest Passage,adventure,action,['action']
2897,No Time for Comedy,comedy,comedy,['comedy']
2898,Nutty But Nice,comedy short,comedy short,['comedy' 'short']
2899,Of Fox and Hounds,animated short,animation short,['animation' 'short']
2900,The Old Swimmin' Hole,drama,drama,['drama']
2901,One Million B.C.,fantasy,fantasy,['fantasy']
2902,Opened by Mistake,comedy,comedy,['comedy']
2903,Patient Porky,animated short,animation short,['animation' 'short']
2904,Phantom of Chinatown,mystery,thriller,['thriller']
2905,The Philadelphia Story,screwball comedy,screwball comedy,['comedy' 'screwball']
2906,Pinocchio,animated,animation,['animation']
2907,Pride and Prejudice,drama,drama,['drama']
2908,Primrose Path,drama,drama,['drama']
2909,Private Affairs,comedy,comedy,['comedy']
2910,The Quarterback,comedy,comedy,['comedy']
2911,Queen of the Mob,crime,action,['action']
2912,Queen of the Yukon,adventure,action,['action']
2913,Rancho Grande,western,action,['action']
2914,The Ranger and the Lady,western,action,['action']
2915,Rangers of Fortune,western,action,['action']
2916,Rebecca,suspense,action,['action']
2917,Remember the Night,romantic drama,romance drama,['drama' 'romance']
2918,Rhythm on the River,musical comedy,cultural comedy,['comedy' 'cultural']
2919,"Ride, Tenderfoot, Ride",western,action,['action']
2920,Road to Singapore,musical comedy,cultural comedy,['comedy' 'cultural']
2921,Rockin' Thru the Rockies,comedy short,comedy short,['comedy' 'short']
2922,Sailor's Lady,comedy,comedy,['comedy']
2923,The Saint Takes Over,crime,action,['action']
2924,The Saint's Double Trouble,crime,action,['action']
2925,Santa Fe Trail,western,action,['action']
2926,Saps at Sea,comedy,comedy,['comedy']
2927,Saturday's Children,drama,drama,['drama']
2928,The Sea Hawk,adventure,action,['action']
2929,Second Chorus,musical comedy,cultural comedy,['comedy' 'cultural']
2930,Seven Sinners,adventure,action,['action']
2931,She Couldn't Say No,comedy,comedy,['comedy']
2932,Shooting High,western musical,action cultural,['action' 'cultural']
2933,The Shop Around the Corner,romantic comedy,romance comedy,['comedy' 'romance']
2934,Son of Ingagi,sci-fi,action,['action']
2935,The Son of Monte Cristo,adventure,action,['action']
2936,Son of the Navy,comedy,comedy,['comedy']
2937,Sporting Blood,drama,drama,['drama']
2938,Spring Parade,"comedy, musical","comedy, cultural",['comedy' 'cultural']
2939,Star Dust,drama,drama,['drama']
2940,Stranger on the Third Floor,film noir, black,['black']
2941,Strike Up the Band,musical comedy,cultural comedy,['comedy' 'cultural']
2942,Susan and God,comedy,comedy,['comedy']
2943,Swiss Family Robinson,adventure,action,['action']
2944,Tear Gas Squad,crime,action,['action']
2945,Terry and the Pirates,serial,serial,['serial']
2946,Texas Rangers Ride Again,western,action,['action']
2947,That Gang of Mine,comedy,comedy,['comedy']
2948,They Drive by Night,drama,drama,['drama']
2949,They Knew What They Wanted,drama,drama,['drama']
2950,"Third Finger, Left Hand",romantic comedy,romance comedy,['comedy' 'romance']
2951,Those Were the Days!,comedy,comedy,['comedy']
2952,Three Faces West,drama,drama,['drama']
2953,'Til We Meet Again,drama,drama,['drama']
2954,Too Many Girls,musical,cultural,['cultural']
2955,Torrid Zone,adventure,action,['action']
2956,Trail of the Vigilantes,western,action,['action']
2957,Tugboat Annie Sails Again,comedy,comedy,['comedy']
2958,Turnabout,comedy,comedy,['comedy']
2959,Two Girls on Broadway,comedy,comedy,['comedy']
2960,Typhoon,adventure,action,['action']
2961,Untamed,drama,drama,['drama']
2962,Up in the Air,comedy,comedy,['comedy']
2963,Vigil in the Night,romantic drama,romance drama,['drama' 'romance']
2964,Virginia City,western,action,['action']
2965,Wagons Westward,western,action,['action']
2966,Waterloo Bridge,war drama,action drama,['action' 'drama']
2967,The Westerner,western,action,['action']
2968,When the Daltons Rode,western,action,['action']
2969,Who Killed Aunt Maggie?,mystery,thriller,['thriller']
2970,A Wild Hare,animated short,animation short,['animation' 'short']
2971,Winners of the West,western serial,action serial,['action' 'serial']
2972,Women in War,war drama,action drama,['action' 'drama']
2973,You Can't Fool Your Wife,comedy,comedy,['comedy']
2974,Young Bill Hickok,western,action,['action']
2975,Young Buffalo Bill,western,action,['action']
2976,Young People,drama,drama,['drama']
2977,Young Tom Edison,biography,cultural,['cultural']
2978,You're Not So Tough,drama,drama,['drama']
2979,Yukon Flight,western,action,['action']
2980,An Ache in Every Stake,comedy short,comedy short,['comedy' 'short']
2981,Adam Had Four Sons,drama,drama,['drama']
2982,Adventures of Captain Marvel,serial,serial,['serial']
2983,Affectionately Yours,comedy,comedy,['comedy']
2984,All-American Co-Ed,comedy,comedy,['comedy']
2985,All the World's a Stooge,comedy short,comedy short,['comedy' 'short']
2986,All This and Rabbit Stew,animation,animation,['animation']
2987,All Through the Night,"mystery, comedy","thriller, comedy",['comedy' 'thriller']
2988,Aloma of the South Seas,adventure,action,['action']
2989,Andy Hardy's Private Secretary,family,child,['child']
2990,Arizona Bound,western,action,['action']
2991,Arkansas Judge,western,action,['action']
2992,Back Street,drama,drama,['drama']
2993,The Bad Man,western,action,['action']
2994,Bad Men of Missouri,western,action,['action']
2995,Bahama Passage,adventure,action,['action']
2996,Ball of Fire,comedy,comedy,['comedy']
2997,Barnacle Bill,comedy,comedy,['comedy']
2998,Bedtime Story,comedy,comedy,['comedy']
2999,Belle Starr,western,action,['action']
3000,The Big Store,comedy,comedy,['comedy']
3001,Billy the Kid,western,action,['action']
3002,Birth of the Blues,musical,cultural,['cultural']
3003,Blood and Sand,drama,drama,['drama']
3004,The Blood of Jesus,race,race,['race']
3005,Blues in the Night,musical,cultural,['cultural']
3006,Bombay Clipper,drama,drama,['drama']
3007,Bowery Blitzkrieg,comedy,comedy,['comedy']
3008,The Bride Came C.O.D.,comedy,comedy,['comedy']
3009,Broadway Limited,comedy,comedy,['comedy']
3010,Buck Privates,comedy,comedy,['comedy']
3011,Bullets for O'Hara,crime,action,['action']
3012,Buy Me That Town,comedy,comedy,['comedy']
3013,Cadet Girl,comedy,comedy,['comedy']
3014,The Case of the Black Parrot,mystery,thriller,['thriller']
3015,Caught in the Draft,comedy,comedy,['comedy']
3016,Charlie Chan in Rio,mystery,thriller,['thriller']
3017,Cheers for Miss Bishop,drama,drama,['drama']
3018,The Chocolate Soldier,musical,cultural,['cultural']
3019,Citizen Kane,drama,drama,['drama']
3020,City of Missing Girls,crime,action,['action']
3021,Come Live With Me,comedy,comedy,['comedy']
3022,Confessions of Boston Blackie,mystery,thriller,['thriller']
3023,Confirm or Deny,drama,drama,['drama']
3024,The Corsican Brothers,swashbuckler,action,['action']
3025,Dangerously They Live,drama,drama,['drama']
3026,Dead Men Tell,charlie chan,charlie chan,['chan' 'charlie']
3027,Design for Scandal,comedy,comedy,['comedy']
3028,Desperate Cargo,drama,drama,['drama']
3029,The Devil and Daniel Webster,fantasy,fantasy,['fantasy']
3030,The Devil and Miss Jones,comedy,comedy,['comedy']
3031,The Devil Commands,horror,action,['action']
3032,The Devil Pays Off,drama,drama,['drama']
3033,Dive Bomber,war drama,action drama,['action' 'drama']
3034,Doctors Don't Tell,mystery,thriller,['thriller']
3035,Double Cross,crime,action,['action']
3036,Down in San Diego,comedy,comedy,['comedy']
3037,Down Mexico Way,western,action,['action']
3038,Dr. Jekyll and Mr. Hyde,horror,action,['action']
3039,Dr. Kildare's Wedding Day,drama,drama,['drama']
3040,Dressed to Kill,mystery,thriller,['thriller']
3041,Dumbo,animated,animation,['animation']
3042,Dutiful But Dumb,comedy short,comedy short,['comedy' 'short']
3043,Elmer's Pet Rabbit,cartoon,cartoon,['cartoon']
3044,The Face Behind the Mask,crime,action,['action']
3045,The Feminine Touch,comedy,comedy,['comedy']
3046,Fiesta,musical,cultural,['cultural']
3047,The Flame of New Orleans,romantic comedy,romance comedy,['comedy' 'romance']
3048,Flying Blind,drama,drama,['drama']
3049,Flying Wild,aviation,aviation,['aviation']
3050,Footsteps in the Dark,mystery,thriller,['thriller']
3051,Forced Landing,action,action,['action']
3052,Free and Easy,comedy,comedy,['comedy']
3053,The Gang's All Here,action comedy,action comedy,['action' 'comedy']
3054,The Gay Falcon,mystery,thriller,['thriller']
3055,Glamour Boy,comedy,comedy,['comedy']
3056,Golden Hoofs,drama,drama,['drama']
3057,"Go West, Young Lady",western comedy,action comedy,['action' 'comedy']
3058,Great Guns,comedy,comedy,['comedy']
3059,The Great Awakening,drama,drama,['drama']
3060,The Great Lie,drama,drama,['drama']
3061,The Green Hornet Strikes Again,serial,serial,['serial']
3062,"H. M. Pulham, Esq.",drama,drama,['drama']
3063,The Hard-Boiled Canary,comedy,comedy,['comedy']
3064,Hard Guy,crime,action,['action']
3065,"Harvard, Here I Come",comedy,comedy,['comedy']
3066,The Heckling Hare,animation,animation,['animation']
3067,Hellzapoppin',musical comedy,cultural comedy,['comedy' 'cultural']
3068,Henry Aldrich for President,comedy,comedy,['comedy']
3069,Here Comes Mr. Jordan,comedy,comedy,['comedy']
3070,Hiawatha's Rabbit Hunt,animation,animation,['animation']
3071,High Sierra,film noir, black,['black']
3072,Hit the Road,crime comedy,action comedy,['action' 'comedy']
3073,Hold Back the Dawn,romance,romance,['romance']
3074,Hold That Ghost,comedy,comedy,['comedy']
3075,Honky Tonk,western,action,['action']
3076,Honolulu Lu,comedy,comedy,['comedy']
3077,Horror Island,suspense,action,['action']
3078,How Green Was My Valley,drama,drama,['drama']
3079,Hudson's Bay,drama,drama,['drama']
3080,I Killed That Man,mystery,thriller,['thriller']
3081,I Wake Up Screaming,film noir, black,['black']
3082,I Wanted Wings,drama,drama,['drama']
3083,I'll Never Heil Again,comedy short,comedy short,['comedy' 'short']
3084,I'll Wait for You,comedy,comedy,['comedy']
3085,In the Navy,comedy,comedy,['comedy']
3086,In the Sweet Pie and Pie,comedy short,comedy short,['comedy' 'short']
3087,International Lady,drama,drama,['drama']
3088,International Squadron,drama,drama,['drama']
3089,Invisible Ghost,horror,action,['action']
3090,It Started with Eve,musical,cultural,['cultural']
3091,Johnny Eager,film noir, black,['black']
3092,Jungle Girl,serial,serial,['serial']
3093,Jungle Man,serial,serial,['serial']
3094,Kathleen,comedy,comedy,['comedy']
3095,Keep 'Em Flying,comedy,comedy,['comedy']
3096,King of the Zombies,horror comedy,action comedy,['action' 'comedy']
3097,Kiss the Boys Goodbye,comedy,comedy,['comedy']
3098,Kisses for Breakfast,comedy,comedy,['comedy']
3099,Ladies in Retirement,unknown,,[]
3100,Lady Be Good,musical,cultural,['cultural']
3101,The Lady Eve,screwball comedy,screwball comedy,['comedy' 'screwball']
3102,Lady from Louisiana,drama,drama,['drama']
3103,Lady Scarface,crime,action,['action']
3104,Let's Make Music,musical,cultural,['cultural']
3105,Life Begins for Andy Hardy,family,child,['child']
3106,Life with Henry,comedy,comedy,['comedy']
3107,The Little Foxes,drama,drama,['drama']
3108,The Lone Wolf Keeps a Date,mystery,thriller,['thriller']
3109,Look Who's Laughing,comedy,comedy,['comedy']
3110,Lydia,drama,drama,['drama']
3111,The Maltese Falcon,mystery,thriller,['thriller']
3112,A Man Betrayed,drama,drama,['drama']
3113,Man Hunt,thriller,action,['action']
3114,Man Made Monster,horror,action,['action']
3115,Manpower,drama,drama,['drama']
3116,The Man Who Lost Himself,drama,drama,['drama']
3117,The Medico of Painted Springs,western,action,['action']
3118,Meet Boston Blackie,mystery,thriller,['thriller']
3119,Meet John Doe,dramatic comedy,dramatic comedy,['comedy' 'dramatic']
3120,Meet the Chump,comedy,comedy,['comedy']
3121,Men of Boys Town,drama,drama,['drama']
3122,Mercy Island,drama,drama,['drama']
3123,The Midnight Snack,animated short,animation short,['animation' 'short']
3124,Million Dollar Baby,comedy,comedy,['comedy']
3125,Mister Bug Goes to Town,animated,animation,['animation']
3126,The Monster and the Girl,horror,action,['action']
3127,Moonlight in Hawaii,musical,cultural,['cultural']
3128,Mr. & Mrs. Smith,screwball comedy,screwball comedy,['comedy' 'screwball']
3129,Mr. Bug Goes to Town,animation,animation,['animation']
3130,Mr. District Attorney,drama,drama,['drama']
3131,Murder by Invitation,mystery,thriller,['thriller']
3132,My Life with Caroline,comedy,comedy,['comedy']
3133,Navy Blues,musical comedy,cultural comedy,['comedy' 'cultural']
3134,Never Give a Sucker an Even Break,comedy,comedy,['comedy']
3135,New York Town,romantic comedy,romance comedy,['comedy' 'romance']
3136,Niagara Falls,comedy,comedy,['comedy']
3137,Nice Girl?,musical,cultural,['cultural']
3138,The Nifty Nineties,animated short,animation short,['animation' 'short']
3139,The Night Before Christmas,animated short,animation short,['animation' 'short']
3140,The Night of January 16th,crime,action,['action']
3141,Nine Lives Are Not Enough,drama,drama,['drama']
3142,No Hands on the Clock,crime,action,['action']
3143,The Nurse's Secret,mystery,thriller,['thriller']
3144,One Foot in Heaven,bio-pic,cultural,['cultural']
3145,Out of the Fog,drama,drama,['drama']
3146,Pacific Blackout,crime,action,['action']
3147,Pantry Panic,animated,animation,['animation']
3148,Paper Bullets,crime drama,action drama,['action' 'drama']
3149,Parachute Battalion,war,action,['action']
3150,Paris Calling,film noir, black,['black']
3151,The Penalty,drama,drama,['drama']
3152,Penny Serenade,melodrama,drama,['drama']
3153,The People vs. Dr. Kildare,drama,drama,['drama']
3154,Petticoat Politics,comedy,comedy,['comedy']
3155,The Pittsburgh Kid,drama,drama,['drama']
3156,Play Girl,comedy,comedy,['comedy']
3157,Playmates,musical comedy,cultural comedy,['comedy' 'cultural']
3158,Pot o' Gold,comedy,comedy,['comedy']
3159,Power Dive,war,action,['action']
3160,Rage in Heaven,thriller,action,['action']
3161,Reaching for the Sun,comedy,comedy,['comedy']
3162,Remember the Day,drama,drama,['drama']
3163,Ridin' on a Rainbow,western,action,['action']
3164,Ringside Maisie,comedy,comedy,['comedy']
3165,Road Show,drama,drama,['drama']
3166,Road to Zanzibar,comedy,comedy,['comedy']
3167,Roar of the Press,mystery,thriller,['thriller']
3168,Romance of the Rio Grande,western,action,['action']
3169,The Round Up,western,action,['action']
3170,Sailors on Leave,comedy,comedy,['comedy']
3171,The Saint in Palm Springs,crime thriller,action action,['action']
3172,The Saint's Vacation,action adventure,action action,['action']
3173,Scotland Yard,crime,action,['action']
3174,Scrub Me Mama with a Boogie Beat,animated short,animation short,['animation' 'short']
